"?# Nederlands	"
Actief;Active
btnInloggen;Login
btnLostPassword;Lost password
btnOpslaan;Save
btnRegister;Register
btnVerzenden;Send
btnVoegtoe;Add to basket
de;Deutsch
Duits;Deutsch
en;English
Engels(GB);English(GB)
Engels(US);English(US)
es;Spanish
fr;French
Frans;French
Inactief;Disabled
inhoud;Content
Italiaans(IT);Italian(IT)
lblAantal;Quantity
lblBestellen;Order
lblbevestigpaswoord;Confirm your password
lblBTWnummer;VAT-number
lblCategorie;Categorie
lbleenheidsprijs;Unit price
lblEmail;Email
lblEmail;E-mail
lblFax;Fax
lblFirma;Firme
lblFoto;Photo
lblGebruiker;User
lblGebruikerstatus;Status user
lblGemeente;Community
lblindewinkelwagen;add to basket
lbllabel;label
lblnieuwpaswoord;New password
lblPagina;Page
lblPaswoord;Password
lblPostcode;Postal code
lblProduct;Product
lblReferentie;Your reference for this order
lblstatus;status
lblStraat;Street
lblTel;Tel
lblTotaal;Total
lblUwBestellingen;Your orders
lblVerzenden;Send
lblVoornaam;First name
lblWebsite;Website
menuCategorie;Categories
menuFirma;Firme
menuFoto;Photos
menuHome;Home
menuPagina;Pages
menuProduct;Products
menuTaal;Language
menuUser;Users
nl;Dutch
Nederlands;Dutch
product in de kijker;product in the spotlight
Spaans;Spanish
teaser;Teaser
titel;Title
title_nl;Title
txtAantal;Quantity
txtAlert1;-Quantity is required
txtBestellen;Orders
txtBevestigingBestellingWinkelmand;Press ok to order the basket
txtCategorie;Categorie
txtEmailNotFound;-E-mail is not registrated
txtEmailResetSend;A password reset email has been sent
txtExtra;Extra
txtFoto;Foto
txtInloggen;Login
txtLabel;Label
txtLostPassword;Forgot password
txtNewCategorie;New categorie
txtNewPage;New page
txtNewProduct;New product
txtNoAccess;-No access to this page
txtNoIdentity;-Please login or register to order the basket
txtOpmerking;Remark
txtPrijs;Unit price
txtProduct;Product
txtProductInDeKijker;Product in the spotlight
txtProductInfo;Product Info
txtRegisterEmail;Thanks for registrating. You can login now.
txtselectiecategorie;Productcategories
txtselectiefoto;Productphotos
txtTeaser;Teaser
txtTitel;Article
txtToegevoegd;Item added to basket
txtUserAlreadyRegistrated;-This e-mail adress has already been registrated
txtWelkom;Welcome
txtWinkelmand;Basket
txtWinkelmandLeegmaken;Empty basket
Zoeken;Search
