"?# Nederlands	"
btnInloggen;Inloggen
btnLostPassword;Wachtwoord vergeten
btnOpslaan;Opslaan
btnRegister;Registreer
btnVerzenden;Verzenden
btnVoegtoe;Voeg toe aan winkelmand
de;Duits
en;Engels
es;Spaans
fr;Français
Frans;Français
inhoud;Inhoud
lblAantal;Aantal
lblBestellen;Bestellen
lblbevestigpaswoord;Bevestig uw paswoord
lblBTWnummer;BTW-nummer
lblCategorie;Categorie
lbleenheidsprijs;Eenheidsprijs
lblEmail;Email
lblEmail;E-mail
lblFax;Fax
lblFirma;Firma
lblFoto;Foto
lblGebruiker;Gebruiker
lblGebruikerstatus;Status gebruiker
lblGemeente;Gemeente
lblindewinkelwagen;in de winkelwagen
lbllabel;label
lblnieuwpaswoord;Nieuw paswoord
lblPagina;Pagina
lblPaswoord;Paswoord
lblPostcode;Postcode
lblProduct;Product
lblReferentie;Geef uw referentie van uw bestelling op
lblstatus;status
lblStraat;Straat
lblTel;Tel
lblTotaal;Totaal
lblUwBestellingen;Uw bestellingen
lblVerzenden;Verzenden
lblVoornaam;Voornaam
lblWebsite;Website
menuCategorie;Categorieën
menuFirma;Firma
menuFoto;Foto's
menuHome;Home
menuPagina;Pagina's
menuProduct;Producten
menuTaal;Taal
menuUser;Gebruikers
nl;Nederlands
teaser;Teaser
titel;Titel
title_nl;Titel
txtAantal;Aantal
txtAlert1;-Aantal verplicht in te vullen
txtBestellen;Bestellen
txtBevestigingBestellingWinkelmand;Druk op OK om de winkelmand te bestellen
txtCategorie;Categorie
txtEmailNotFound;-E-mailadres is niet geregistreerd
txtEmailResetSend;Een email werd verstuurd om uw paswoord te resetten
txtExtra;Extra
txtFoto;Foto
txtInloggen;Inloggen
txtLabel;Label
txtLostPassword;Wachtwoord vergeten
txtNewCategorie;Nieuwe categorie
txtNewPage;Nieuwe pagina
txtNewProduct;Nieuw product
txtNoAccess;-Geen toegang tot deze pagina
txtNoIdentity;-Gelieve in te loggen of te registreren om de winkelmand te bestellen
txtOpmerking;Opmerking
txtPrijs;Eenheidsprijs
txtProduct;Product
txtProductInDeKijker;Product in de kijker
txtProductInfo;Product Info
txtRegisterEmail;Bedankt om u te registreren.U kan nu inloggen.
txtselectiecategorie;Productcategorieën
txtselectiefoto;Productfoto's
txtTeaser;Teaser
txtTitel;Artikel
txtToegevoegd;Item toegevoegd aan uw winkelwagen
txtUserAlreadyRegistrated;-Dit e-mail adres is reeds geregistreerd
txtWelkom;Welkom
txtWinkelmand;Winkelwagen
txtWinkelmandLeegmaken;Winkelmand leegmaken

